rebuild,pop_total,n_pops,t_initial,t_per_step
0,100000,1,1.372,0.0064
0,200000,2,1.406,0.0068
0,500000,5,1.661,0.0089
0,1000000,10,2.895,0.0145
0,2000000,20,7.165,0.0241
0,5000000,50,19.388,0.0606
0,10000000,100,40.692,0.1393
0,10000,1,1.527,0.004
0,20000,1,0.765,0.0039
0,50000,1,0.961,0.0046
0,100000,1,1.301,0.006
0,200000,1,2.135,0.0089
0,500000,1,4.836,0.0192
0,1000000,1,9.589,0.0411
0,2000000,1,19.053,0.0751
0,5000000,1,48.672,0.1954
0,10000000,1,108.081,0.3535
1,100000,1,1.787,0.0892
1,200000,2,1.356,0.098
1,500000,5,1.646,0.1442
1,1000000,10,2.981,0.2528
1,2000000,20,6.478,0.4918
1,5000000,50,17.1,1.2285
1,10000000,100,44.76,2.806
1,10000,1,1.486,0.0093
1,20000,1,0.708,0.0149
1,50000,1,1.05,0.04
1,100000,1,1.36,0.0875
1,200000,1,2.144,0.2053
1,500000,1,5.123,0.6644
1,1000000,1,9.995,1.4758
1,2000000,1,20.145,3.1408
1,5000000,1,50.855,8.8803
1,10000000,1,118.975,19.4323

